Symbol,Security,Dictionary_Entry,GICS Sector,GICS Sub-Industry,Headquarters Location,Date first added,Founded
GRMN,Garmin Ltd.,"'Garmin Ltd.': 'GRMN',",Consumer Discretionary,Consumer Electronics,"Schaffhausen, Switzerland",12/12/2012,1989
GS,Goldman Sachs Group,"'Goldman Sachs Group': 'GS',",Financials,Investment Banking & Brokerage,"New York, New York",7/22/2002,1869
GWW,Grainger (W.W.) Inc.,"'Grainger (W.W.) Inc.': 'GWW',",Industrials,Industrial Machinery,"Lake Forest, Illinois",6/30/1981,1927
HAL,Halliburton Co.,"'Halliburton Co.': 'HAL',",Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/4/1957,1919
HAS,Hasbro Inc.,"'Hasbro Inc.': 'HAS',",Consumer Discretionary,Leisure Products,"Pawtucket, Rhode Island",9/30/1984,1923
HBAN,Huntington Bancshares,"'Huntington Bancshares': 'HBAN',",Financials,Regional Banks,"Columbus, Ohio",,1866
HBI,Hanesbrands Inc,"'Hanesbrands Inc': 'HBI',",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Winston-Salem, North Carolina",3/20/2015,2000
HCA,HCA Healthcare,"'HCA Healthcare': 'HCA',",Health Care,Health Care Facilities,"Nashville, Tennessee",1/27/2015,1968
HD,Home Depot,"'Home Depot': 'HD',",Consumer Discretionary,Home Improvement Retail,"Atlanta, Georgia",3/31/1988,1978
HES,Hess Corporation,"'Hess Corporation': 'HES',",Energy,Integrated Oil & Gas,"New York, New York",5/31/1984,1919
HFC,HollyFrontier Corp,"'HollyFrontier Corp': 'HFC',",Energy,Oil & Gas Refining & Marketing,"Dallas, Texas",6/18/2018,1947
HIG,Hartford Financial Svc.Gp.,"'Hartford Financial Svc.Gp.': 'HIG',",Financials,Property & Casualty Insurance,"Hartford, Connecticut",3/4/1957,1810
HII,Huntington Ingalls Industries,"'Huntington Ingalls Industries': 'HII',",Industrials,Aerospace & Defense,"Newport News, Virginia",1/3/2018,2011
HLT,Hilton Worldwide Holdings Inc,"'Hilton Worldwide Holdings Inc': 'HLT',",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Tysons Corner, Virginia",6/19/2017,1919
HOLX,Hologic,"'Hologic': 'HOLX',",Health Care,Health Care Equipment,"Marlborough, Massachusetts",3/30/2016,1985
HON,Honeywell Int'l Inc.,"'Honeywell Int'l Inc.': 'HON',",Industrials,Industrial Conglomerates,"Charlotte, North Carolina",3/31/1964,1906
HPE,Hewlett Packard Enterprise,"'Hewlett Packard Enterprise': 'HPE',",Information Technology,"Technology Hardware, Storage & Peripherals","Houston, Texas",11/2/2015,2015
HPQ,HP Inc.,"'HP Inc.': 'HPQ',",Information Technology,"Technology Hardware, Storage & Peripherals","Palo Alto, California",12/31/1974,1939 (2015)
HRL,Hormel Foods Corp.,"'Hormel Foods Corp.': 'HRL',",Consumer Staples,Packaged Foods & Meats,"Austin, Minnesota",3/4/2009,1891
HSIC,Henry Schein,"'Henry Schein': 'HSIC',",Health Care,Health Care Distributors,"Melville, New York",3/17/2015,1932
HST,Host Hotels & Resorts,"'Host Hotels & Resorts': 'HST',",Real Estate,Hotel & Resort REITs,"Bethesda, Maryland",3/20/2007,1993
HSY,The Hershey Company,"'The Hershey Company': 'HSY',",Consumer Staples,Packaged Foods & Meats,"Hershey, Pennsylvania",3/4/1957,1894
HUM,Humana Inc.,"'Humana Inc.': 'HUM',",Health Care,Managed Health Care,"Louisville, Kentucky",,1961
HWM,Howmet Aerospace,"'Howmet Aerospace': 'HWM',",Industrials,Aerospace & Defense,"Pittsburgh, Pennsylvania",3/31/1964,2016
IBM,International Business Machines,"'International Business Machines': 'IBM',",Information Technology,IT Consulting & Other Services,"Armonk, New York",3/4/1957,1911
ICE,Intercontinental Exchange,"'Intercontinental Exchange': 'ICE',",Financials,Financial Exchanges & Data,"Atlanta, Georgia",9/26/2007,2000
IDXX,Idexx Laboratories,"'Idexx Laboratories': 'IDXX',",Health Care,Health Care Equipment,"Westbrook, Maine",1/5/2017,1983
IEX,IDEX Corporation,"'IDEX Corporation': 'IEX',",Industrials,Industrial Machinery,"Lake Forest, Illinois",8/9/2019,1988
IFF,International Flavors & Fragrances,"'International Flavors & Fragrances': 'IFF',",Materials,Specialty Chemicals,"New York, New York",3/31/1976,1958 (1889)
ILMN,Illumina Inc,"'Illumina Inc': 'ILMN',",Health Care,Life Sciences Tools & Services,"San Diego, California",11/19/2015,1998
INCY,Incyte,"'Incyte': 'INCY',",Health Care,Biotechnology,"Wilmington, Delaware",2/28/2017,1991
INFO,IHS Markit,"'IHS Markit': 'INFO',",Industrials,Research & Consulting Services,"London, United Kingdom",6/2/2017,1959
INTC,Intel Corp.,"'Intel Corp.': 'INTC',",Information Technology,Semiconductors,"Santa Clara, California",12/31/1976,1968
INTU,Intuit Inc.,"'Intuit Inc.': 'INTU',",Information Technology,Application Software,"Mountain View, California",12/5/2000,1983
IP,International Paper,"'International Paper': 'IP',",Materials,Paper Packaging,"Memphis, Tennessee",3/4/1957,1898
IPG,Interpublic Group,"'Interpublic Group': 'IPG',",Communication Services,Advertising,"New York, New York",10/1/1992,1961 (1930)
IPGP,IPG Photonics Corp.,"'IPG Photonics Corp.': 'IPGP',",Information Technology,Electronic Manufacturing Services,"Oxford, Massachusetts",3/7/2018,1990
IQV,IQVIA Holdings Inc.,"'IQVIA Holdings Inc.': 'IQV',",Health Care,Life Sciences Tools & Services,"Durham, North Carolina",8/29/2017,1982
IR,Ingersoll Rand,"'Ingersoll Rand': 'IR',",Industrials,Industrial Machinery,"Milwaukee, Wisconsin",3/3/2020,1859
IRM,Iron Mountain Incorporated,"'Iron Mountain Incorporated': 'IRM',",Real Estate,Specialized REITs,"Boston, Massachusetts",1/6/2009,1951
ISRG,Intuitive Surgical Inc.,"'Intuitive Surgical Inc.': 'ISRG',",Health Care,Health Care Equipment,"Sunnyvale, California",6/2/2008,1995
IT,Gartner Inc,"'Gartner Inc': 'IT',",Information Technology,IT Consulting & Other Services,"Stamford, Connecticut",4/5/2017,1979
ITW,Illinois Tool Works,"'Illinois Tool Works': 'ITW',",Industrials,Industrial Machinery,"Glenview, Illinois",2/28/1986,1912
IVZ,Invesco Ltd.,"'Invesco Ltd.': 'IVZ',",Financials,Asset Management & Custody Banks,"Atlanta, Georgia",8/21/2008,1935
J,Jacobs Engineering Group,"'Jacobs Engineering Group': 'J',",Industrials,Construction & Engineering,"Dallas, Texas",10/26/2007,1947
JBHT,J. B. Hunt Transport Services,"'J. B. Hunt Transport Services': 'JBHT',",Industrials,Trucking,"Lowell, Arkansas",7/1/2015,1961
JKHY,Jack Henry & Associates,"'Jack Henry & Associates': 'JKHY',",Information Technology,Data Processing & Outsourced Services,"Monett, Missouri",11/13/2018,1976
JNJ,Johnson & Johnson,"'Johnson & Johnson': 'JNJ',",Health Care,Pharmaceuticals,"New Brunswick, New Jersey",6/30/1973,1886
JNPR,Juniper Networks,"'Juniper Networks': 'JNPR',",Information Technology,Communications Equipment,"Sunnyvale, California",6/2/2006,1996
JPM,JPMorgan Chase & Co.,"'JPMorgan Chase & Co.': 'JPM',",Financials,Diversified Banks,"New York, New York",6/30/1975,2000 (1799 / 1871)
K,Kellogg Co.,"'Kellogg Co.': 'K',",Consumer Staples,Packaged Foods & Meats,"Battle Creek, Michigan",,1906
KEY,KeyCorp,"'KeyCorp': 'KEY',",Financials,Regional Banks,"Cleveland, Ohio",3/1/1994,1825
KEYS,Keysight Technologies,"'Keysight Technologies': 'KEYS',",Information Technology,Electronic Equipment & Instruments,"Santa Rosa, California",11/6/2018,2014
KIM,Kimco Realty,"'Kimco Realty': 'KIM',",Real Estate,Retail REITs,"New Hyde Park, New York",4/4/2006,1958
KLAC,KLA Corporation,"'KLA Corporation': 'KLAC',",Information Technology,Semiconductor Equipment,"Milpitas, California",,1975/1977 (1997)
KMB,Kimberly-Clark,"'Kimberly-Clark': 'KMB',",Consumer Staples,Household Products,"Irving, Texas",3/4/1957,1872
KMI,Kinder Morgan,"'Kinder Morgan': 'KMI',",Energy,Oil & Gas Storage & Transportation,"Houston, Texas",5/25/2012,1997
KMX,Carmax Inc,"'Carmax Inc': 'KMX',",Consumer Discretionary,Specialty Stores,"Richmond, Virginia",6/28/2010,1993
KO,Coca-Cola Company,"'Coca-Cola Company': 'KO',",Consumer Staples,Soft Drinks,"Atlanta, Georgia",3/4/1957,1886
KR,Kroger Co.,"'Kroger Co.': 'KR',",Consumer Staples,Food Retail,"Cincinnati, Ohio",3/4/1957,1883
KSU,Kansas City Southern,"'Kansas City Southern': 'KSU',",Industrials,Railroads,"Kansas City, Missouri",5/24/2013,1887
L,Loews Corp.,"'Loews Corp.': 'L',",Financials,Multi-line Insurance,"New York, New York",,1959
LB,L Brands Inc.,"'L Brands Inc.': 'LB',",Consumer Discretionary,Apparel Retail,"Columbus, Ohio",9/30/1983,1963
LDOS,Leidos Holdings,"'Leidos Holdings': 'LDOS',",Industrials,Diversified Support Services,"Reston, Virginia",8/9/2019,1969
LEG,Leggett & Platt,"'Leggett & Platt': 'LEG',",Consumer Discretionary,Home Furnishings,"Carthage, Missouri",,1883
LEN,Lennar Corp.,"'Lennar Corp.': 'LEN',",Consumer Discretionary,Homebuilding,"Miami, Florida",10/4/2005,1954
LH,Laboratory Corp. of America Holding,"'Laboratory Corp. of America Holding': 'LH',",Health Care,Health Care Services,"Burlington, North Carolina",11/1/2004,1978
LHX,L3Harris Technologies,"'L3Harris Technologies': 'LHX',",Industrials,Aerospace & Defense,"Melbourne, Florida",9/22/2008,2019 (1895)
LIN,Linde plc,"'Linde plc': 'LIN',",Materials,Industrial Gases,"Guildford, Surrey, United Kingdom",7/1/1992,1879
LKQ,LKQ Corporation,"'LKQ Corporation': 'LKQ',",Consumer Discretionary,Distributors,"Chicago, Illinois",5/23/2016,1998
LLY,Lilly (Eli) & Co.,"'Lilly (Eli) & Co.': 'LLY',",Health Care,Pharmaceuticals,"Indianapolis, Indiana",12/31/1970,1876
LMT,Lockheed Martin Corp.,"'Lockheed Martin Corp.': 'LMT',",Industrials,Aerospace & Defense,"Bethesda, Maryland",7/31/1984,1995
LNC,Lincoln National,"'Lincoln National': 'LNC',",Financials,Multi-line Insurance,"Radnor, Pennsylvania",6/30/1976,1905
LOW,Lowe's Cos.,"Lowes Cos.': 'LOW',",Consumer Discretionary,Home Improvement Retail,"Mooresville, North Carolina",2/29/1984,1904/1946/1959
LRCX,Lam Research,"'Lam Research': 'LRCX',",Information Technology,Semiconductor Equipment,"Fremont, California",6/29/2012,1980
LUMN,Lumen Technologies,"'Lumen Technologies': 'LUMN',",Communication Services,Alternative Carriers,"Monroe, Louisiana",3/25/1999,1983 (1877)
LUV,Southwest Airlines,"southwest Airlines': 'LUV',",Industrials,Airlines,"Dallas, Texas",7/1/1994,1967
LVS,Las Vegas Sands,"'Las Vegas Sands': 'LVS',",Consumer Discretionary,Casinos & Gaming,"Las Vegas, Nevada",10/3/2019,1988
LYB,LyondellBasell,"'LyondellBasell': 'LYB',",Materials,Specialty Chemicals,"Rotterdam, Netherlands",9/5/2012,2007
LYV,Live Nation Entertainment,"'Live Nation Entertainment': 'LYV',",Communication Services,Movies & Entertainment,"Beverly Hills, California",12/23/2019,2010
MA,Mastercard Inc.,"'Mastercard Inc.': 'MA',",Information Technology,Data Processing & Outsourced Services,"Harrison, New York",7/18/2008,1966
MAA,Mid-America Apartments,"'Mid-America Apartments': 'MAA',",Real Estate,Residential REITs,"Memphis, Tennessee",12/2/2016,1977
MAR,Marriott International,"'Marriott International': 'MAR',",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Bethesda, Maryland",,1927
MAS,Masco Corp.,"'Masco Corp.': 'MAS',",Industrials,Building Products,"Livonia, Michigan",6/30/1981,1929
MCD,McDonald's Corp.,"McDonalds Corp.': 'MCD',",Consumer Discretionary,Restaurants,"Chicago, Illinois",6/30/1970,1940
MCHP,Microchip Technology,"'Microchip Technology': 'MCHP',",Information Technology,Semiconductors,"Chandler, Arizona",9/7/2007,1989
MCK,McKesson Corp.,"'McKesson Corp.': 'MCK',",Health Care,Health Care Distributors,"Irving, Texas",,1833
MCO,Moody's Corp,"Moodys Corp': 'MCO',",Financials,Financial Exchanges & Data,"New York, New York",,1909
MDLZ,Mondelez International,"'Mondelez International': 'MDLZ',",Consumer Staples,Packaged Foods & Meats,"Chicago, Illinois",10/2/2012,2012
MDT,Medtronic plc,"'Medtronic plc': 'MDT',",Health Care,Health Care Equipment,"Dublin, Ireland",10/31/1986,1949
MET,MetLife Inc.,"'MetLife Inc.': 'MET',",Financials,Life & Health Insurance,"New York, New York",,1868
MGM,MGM Resorts International,"'MGM Resorts International': 'MGM',",Consumer Discretionary,Casinos & Gaming,"Paradise, Nevada",7/26/2017,1986
MHK,Mohawk Industries,"'Mohawk Industries': 'MHK',",Consumer Discretionary,Home Furnishings,"Calhoun, Georgia",12/23/2013,1878
MKC,McCormick & Co.,"'McCormick & Co.': 'MKC',",Consumer Staples,Packaged Foods & Meats,"Hunt Valley, Maryland",,1889
MKTX,MarketAxess,"'MarketAxess': 'MKTX',",Financials,Financial Exchanges & Data,"New York, New York",7/1/2019,2000
MLM,Martin Marietta Materials,"'Martin Marietta Materials': 'MLM',",Materials,Construction Materials,"Raleigh, North Carolina",7/2/2014,1993
MMC,Marsh & McLennan,"'Marsh & McLennan': 'MMC',",Financials,Insurance Brokers,"New York, New York",8/31/1987,1905
MMM,3M Company,"'3M Company': 'MMM',",Industrials,Industrial Conglomerates,"St. Paul, Minnesota",8/9/1976,1902
MNST,Monster Beverage,"'Monster Beverage': 'MNST',",Consumer Staples,Soft Drinks,"Corona, California",6/28/2012,2012 (1935)
MO,Altria Group Inc,"'Altria Group Inc': 'MO',",Consumer Staples,Tobacco,"Richmond, Virginia",3/4/1957,1985
MOS,The Mosaic Company,"'The Mosaic Company': 'MOS',",Materials,Fertilizers & Agricultural Chemicals,"Tampa, Florida",9/26/2011,2004 (1865 / 1909)
MPC,Marathon Petroleum,"'Marathon Petroleum': 'MPC',",Energy,Oil & Gas Refining & Marketing,"Findlay, Ohio",7/1/2011,2009 (1887)
MPWR,Monolithic Power Systems,"'Monolithic Power Systems': 'MPWR',",Information Technology,Semiconductors,"Kirkland, Washington",2/12/2021,1997
MRK,Merck & Co.,"'Merck & Co.': 'MRK',",Health Care,Pharmaceuticals,"Kenilworth, New Jersey",3/4/1957,1891
MRO,Marathon Oil Corp.,"'Marathon Oil Corp.': 'MRO',",Energy,Oil & Gas Exploration & Production,"Houston, Texas",5/1/1991,1887
MS,Morgan Stanley,"'Morgan Stanley': 'MS',",Financials,Investment Banking & Brokerage,"New York, New York",,1935
MSCI,MSCI Inc,"'MSCI Inc': 'MSCI',",Financials,Financial Exchanges & Data,"New York, New York",4/4/2018,1969
MSFT,Microsoft Corp.,"'Microsoft Corp.': 'MSFT',",Information Technology,Systems Software,"Redmond, Washington",6/1/1994,1975
MSI,Motorola Solutions Inc.,"'Motorola Solutions Inc.': 'MSI',",Information Technology,Communications Equipment,"Chicago, Illinois",,1928 (2011)
MTB,M&T Bank,"'M&T Bank': 'MTB',",Financials,Regional Banks,"Buffalo, New York",2/23/2004,1856
MTD,Mettler Toledo,"'Mettler Toledo': 'MTD',",Health Care,Life Sciences Tools & Services,"Columbus, Ohio",9/6/2016,1945
MU,Micron Technology,"'Micron Technology': 'MU',",Information Technology,Semiconductors,"Boise, Idaho",9/27/1994,1978
MXIM,Maxim Integrated Products,"'Maxim Integrated Products': 'MXIM',",Information Technology,Semiconductors,"San Jose, California",12/3/2018,1983
NCLH,Norwegian Cruise Line Holdings,"'Norwegian Cruise Line Holdings': 'NCLH',",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",10/13/2017,2011 (1966)
NDAQ,"Nasdaq, Inc.","'Nasdaq, Inc.': 'NDAQ',",Financials,Financial Exchanges & Data,"New York, New York",10/22/2008,1971
NEE,NextEra Energy,"'NextEra Energy': 'NEE',",Utilities,Multi-Utilities,"Juno Beach, Florida",6/30/1976,1984 (1925)
NEM,Newmont Corporation,"'Newmont Corporation': 'NEM',",Materials,Gold,"Denver, Colorado",6/30/1969,1921
NFLX,Netflix Inc.,"'Netflix Inc.': 'NFLX',",Communication Services,Movies & Entertainment,"Los Gatos, California",12/20/2010,1997
NI,NiSource Inc.,"'NiSource Inc.': 'NI',",Utilities,Multi-Utilities,"Merrillville, Indiana",,1912
NKE,"Nike, Inc.","'Nike, Inc.': 'NKE',",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","Washington County, Oregon",11/30/1988,1964
NLOK,NortonLifeLock,"'NortonLifeLock': 'NLOK',",Information Technology,Application Software,"Tempe, Arizona",3/25/2003,1982
NLSN,Nielsen Holdings,"'Nielsen Holdings': 'NLSN',",Industrials,Research & Consulting Services,"New York, New York",7/9/2013,1923
NOC,Northrop Grumman,"'Northrop Grumman': 'NOC',",Industrials,Aerospace & Defense,"West Falls Church, Virginia",6/30/1985,"1994 (Northrop 1939, Grumman 1930)"
NOV,NOV Inc.,"'NOV Inc.': 'NOV',",Energy,Oil & Gas Equipment & Services,"Houston, Texas",3/14/2005,1841
NOW,ServiceNow,"serviceNow': 'NOW',",Information Technology,Systems Software,"Santa Clara, California",11/21/2019,2003
NRG,NRG Energy,"'NRG Energy': 'NRG',",Utilities,Independent Power Producers & Energy Traders,"Houston, Texas",1/29/2010,1992
NSC,Norfolk Southern Corp.,"'Norfolk Southern Corp.': 'NSC',",Industrials,Railroads,"Norfolk, Virginia",3/4/1957,1881/1894 (1980)
NTAP,NetApp,"'NetApp': 'NTAP',",Information Technology,"Technology Hardware, Storage & Peripherals","Sunnyvale, California",6/25/1999,1992
NTRS,Northern Trust Corp.,"'Northern Trust Corp.': 'NTRS',",Financials,Asset Management & Custody Banks,"Chicago, Illinois",,1889
NUE,Nucor Corp.,"'Nucor Corp.': 'NUE',",Materials,Steel,"Charlotte, North Carolina",4/30/1985,1940
NVDA,Nvidia Corporation,"'Nvidia Corporation': 'NVDA',",Information Technology,Semiconductors,"Santa Clara, California",11/30/2001,1993
NVR,"NVR, Inc.","'NVR, Inc.': 'NVR',",Consumer Discretionary,Homebuilding,"Reston, Virginia",9/26/2019,1980
NWL,Newell Brands,"'Newell Brands': 'NWL',",Consumer Discretionary,Housewares & Specialties,"Atlanta, Georgia",4/30/1989,1903
NWS,News Corp (Class B),"'News Corp (Class B)': 'NWS',",Communication Services,Publishing,"New York, New York",9/18/2015,2013 (1980)
NXPI,NXP Semiconductors,"'NXP Semiconductors': 'NXPI',",Information Technology,Semiconductors,"Eindhoven, Netherlands",3/22/2021,1953
O,Realty Income Corporation,"'Realty Income Corporation': 'O',",Real Estate,Retail REITs,"San Diego, California",4/7/2015,1969
ODFL,Old Dominion Freight Line,"'Old Dominion Freight Line': 'ODFL',",Industrials,Trucking,"Thomasville, North Carolina",12/9/2019,1934
OKE,Oneok,"'Oneok': 'OKE',",Energy,Oil & Gas Storage & Transportation,"Tulsa, Oklahoma",3/15/2010,1906
OMC,Omnicom Group,"'Omnicom Group': 'OMC',",Communication Services,Advertising,"New York, New York",,1986
ORCL,Oracle Corp.,"'Oracle Corp.': 'ORCL',",Information Technology,Application Software,"Austin, Texas",8/31/1989,1977
ORLY,O'Reilly Automotive,"'O'Reilly Automotive': 'ORLY',",Consumer Discretionary,Specialty Stores,"Springfield, Missouri",3/27/2009,1957
OTIS,Otis Worldwide,"'Otis Worldwide': 'OTIS',",Industrials,Industrial Machinery,"Farmington, Connecticut",4/3/2020,2020 (1853)
OXY,Occidental Petroleum,"'Occidental Petroleum': 'OXY',",Energy,Oil & Gas Exploration & Production,"Houston, Texas",12/31/1982,1920
PAYC,Paycom,"'Paycom': 'PAYC',",Information Technology,Application Software,"Oklahoma City, Oklahoma",1/28/2020,1998
PAYX,Paychex Inc.,"'Paychex Inc.': 'PAYX',",Information Technology,Data Processing & Outsourced Services,"Penfield, New York",,1971
PBCT,People's United Financial,"Peoples United Financial': 'PBCT',",Financials,Thrifts & Mortgage Finance,"Bridgeport, Connecticut",11/13/2008,1842
PCAR,Paccar,"'Paccar': 'PCAR',",Industrials,Construction Machinery & Heavy Trucks,"Bellevue, Washington",12/31/1980,1905
PEAK,Healthpeak Properties,"'Healthpeak Properties': 'PEAK',",Real Estate,Health Care REITs,"Long Beach, California",3/31/2008,1985
PEG,Public Service Enterprise Group (PSEG),"'Public Service Enterprise Group (PSEG)': 'PEG',",Utilities,Electric Utilities,"Newark, New Jersey",3/4/1957,1903
PENN,Penn National Gaming,"'Penn National Gaming': 'PENN',",Consumer Discretionary,Casinos & Gaming,"Wyomissing, Pennsylvania",3/22/2021,1972
PEP,PepsiCo Inc.,"'PepsiCo Inc.': 'PEP',",Consumer Staples,Soft Drinks,"Purchase, New York",3/4/1957,1898
PFE,Pfizer Inc.,"'Pfizer Inc.': 'PFE',",Health Care,Pharmaceuticals,"New York, New York",3/4/1957,1849
PFG,Principal Financial Group,"'Principal Financial Group': 'PFG',",Financials,Life & Health Insurance,"Des Moines, Iowa",7/22/2002,1879
PG,Procter & Gamble,"'Procter & Gamble': 'PG',",Consumer Staples,Personal Products,"Cincinnati, Ohio",3/4/1957,1837
PGR,Progressive Corp.,"'Progressive Corp.': 'PGR',",Financials,Property & Casualty Insurance,"Mayfield Village, Ohio",8/4/1997,1937
PH,Parker-Hannifin,"'Parker-Hannifin': 'PH',",Industrials,Industrial Machinery,"Cleveland, Ohio",11/30/1985,1917
PHM,PulteGroup,"'PulteGroup': 'PHM',",Consumer Discretionary,Homebuilding,"Atlanta, Georgia",4/30/1984,1956
PKG,Packaging Corporation of America,"'Packaging Corporation of America': 'PKG',",Materials,Paper Packaging,"Lake Forest, Illinois",7/26/2017,1959
PKI,PerkinElmer,"'PerkinElmer': 'PKI',",Health Care,Health Care Equipment,"Waltham, Massachusetts",5/31/1985,1937
PLD,Prologis,"'Prologis': 'PLD',",Real Estate,Industrial REITs,"San Francisco, California",7/17/2003,1983
PM,Philip Morris International,"'Philip Morris International': 'PM',",Consumer Staples,Tobacco,"New York, New York",3/31/2008,2008 (1847)
PNC,PNC Financial Services,"'PNC Financial Services': 'PNC',",Financials,Regional Banks,"Pittsburgh, Pennsylvania",4/30/1988,1845
PNR,Pentair plc,"'Pentair plc': 'PNR',",Industrials,Industrial Machinery,"Worsley, UK",10/1/2012,1966
PNW,Pinnacle West Capital,"'Pinnacle West Capital': 'PNW',",Utilities,Multi-Utilities,"Phoenix, Arizona",,1985
POOL,Pool Corporation,"'Pool Corporation': 'POOL',",Consumer Discretionary,Distributors,"Covington, Louisiana",10/7/2020,1993
PPG,PPG Industries,"'PPG Industries': 'PPG',",Materials,Specialty Chemicals,"Pittsburgh, Pennsylvania",3/4/1957,1883
PPL,PPL Corp.,"'PPL Corp.': 'PPL',",Utilities,Electric Utilities,"Allentown, Pennsylvania",,1920
PRGO,Perrigo,"'Perrigo': 'PRGO',",Health Care,Pharmaceuticals,"Dublin, Ireland",12/19/2011,2013 (1887)
PRU,Prudential Financial,"'Prudential Financial': 'PRU',",Financials,Life & Health Insurance,"Newark, New Jersey",7/22/2002,1875
PSA,Public Storage,"'Public Storage': 'PSA',",Real Estate,Specialized REITs,"Glendale, California",8/19/2005,1972
PSX,Phillips 66,"'Phillips 66': 'PSX',",Energy,Oil & Gas Refining & Marketing,"Houston, Texas",5/1/2012,2012 (1917)
PTC,PTC Inc,"'PTC Inc': 'PTC',",Information Technology,Application Software,"Boston, Massachusetts",4/20/2021,1985
PVH,PVH Corp.,"'PVH Corp.': 'PVH',",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/15/2013,1881
PWR,Quanta Services Inc.,"'Quanta Services Inc.': 'PWR',",Industrials,Construction & Engineering,"Houston, Texas",7/1/2009,1997
PXD,Pioneer Natural Resources,"'Pioneer Natural Resources': 'PXD',",Energy,Oil & Gas Exploration & Production,"Irving, Texas",9/24/2008,1997
PYPL,PayPal,"'PayPal': 'PYPL',",Information Technology,Data Processing & Outsourced Services,"San Jose, California",7/20/2015,1998
QCOM,Qualcomm,"'Qualcomm': 'QCOM',",Information Technology,Semiconductors,"San Diego, California",,1985
QRVO,Qorvo,"'Qorvo': 'QRVO',",Information Technology,Semiconductors,"Greensboro, North Carolina",6/11/2015,2015
RCL,Royal Caribbean Group,"'Royal Caribbean Group': 'RCL',",Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Miami, Florida",12/5/2014,1997
RE,Everest Re Group Ltd.,"'Everest Re Group Ltd.': 'RE',",Financials,Reinsurance,"Hamilton, Bermuda",6/19/2017,1973
REG,Regency Centers Corporation,"'Regency Centers Corporation': 'REG',",Real Estate,Retail REITs,"Jacksonville, Florida",3/2/2017,1963
REGN,Regeneron Pharmaceuticals,"'Regeneron Pharmaceuticals': 'REGN',",Health Care,Biotechnology,"Tarrytown, New York",5/1/2013,1988
RF,Regions Financial Corp.,"'Regions Financial Corp.': 'RF',",Financials,Regional Banks,"Birmingham, Alabama",8/28/1998,1971
RHI,Robert Half International,"'Robert Half International': 'RHI',",Industrials,Human Resource & Employment Services,"Menlo Park, California",12/5/2000,1948
RJF,Raymond James Financial,"'Raymond James Financial': 'RJF',",Financials,Investment Banking & Brokerage,"St. Petersburg, Florida",3/20/2017,1962
RL,Ralph Lauren Corporation,"'Ralph Lauren Corporation': 'RL',",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",2/2/2007,1967
RMD,ResMed,"'ResMed': 'RMD',",Health Care,Health Care Equipment,"San Diego, California",7/26/2017,1989
ROK,Rockwell Automation Inc.,"'Rockwell Automation Inc.': 'ROK',",Industrials,Electrical Components & Equipment,"Milwaukee, Wisconsin",,1903
ROL,"Rollins, Inc.","'Rollins, Inc.': 'ROL',",Industrials,Environmental & Facilities Services,"Atlanta, Georgia",10/1/2018,1948
ROP,Roper Technologies,"'Roper Technologies': 'ROP',",Industrials,Industrial Conglomerates,"Sarasota, Florida",12/23/2009,1981
ROST,Ross Stores,"'Ross Stores': 'ROST',",Consumer Discretionary,Apparel Retail,"Dublin, California",12/21/2009,1982
RSG,Republic Services Inc,"'Republic Services Inc': 'RSG',",Industrials,Environmental & Facilities Services,"Phoenix, Arizona",12/5/2008,1998 (1981)
RTX,Raytheon Technologies,"'Raytheon Technologies': 'RTX',",Industrials,Aerospace & Defense,"Waltham, Massachusetts",,1922
SBAC,SBA Communications,"sBA Communications': sBAC',",Real Estate,Specialized REITs,"Boca Raton, Florida",9/1/2017,1989
SBUX,Starbucks Corp.,"starbucks Corp.': sBUX',",Consumer Discretionary,Restaurants,"Seattle, Washington",,1971
SCHW,Charles Schwab Corporation,"Charles Schwab Corporation': sCHW',",Financials,Investment Banking & Brokerage,"Westlake, Texas",6/2/1997,1971
SEE,Sealed Air,"sealed Air': sEE',",Materials,Paper Packaging,"Charlotte, North Carolina",3/4/1957,1960
SHW,Sherwin-Williams,"sherwin-Williams': sHW',",Materials,Specialty Chemicals,"Cleveland, Ohio",6/30/1964,1866
SIVB,SVB Financial,"sVB Financial': sIVB',",Financials,Regional Banks,"Santa Clara, California",3/19/2018,1983
SJM,JM Smucker,"JM Smucker': sJM',",Consumer Staples,Packaged Foods & Meats,"Orrville, Ohio",11/6/2008,1897
SLB,Schlumberger Ltd.,"schlumberger Ltd.': sLB',",Energy,Oil & Gas Equipment & Services,"Curaçao, Kingdom of the Netherlands",3/31/1965,1926
SNA,Snap-on,"snap-on': sNA',",Industrials,Industrial Machinery,"Kenosha, Wisconsin",9/30/1982,1920
SNPS,Synopsys Inc.,"synopsys Inc.': sNPS',",Information Technology,Application Software,"Mountain View, California",3/16/2017,1986
